FEATURE,NORM,THRESHOLD,WEIGHTED,accuracy,ap,auroc,base_rate,f1,threshold
surprisal,none,1.0,False,0.7023593466424682,0.40189927725421787,0.7194287205427757,0.20689655172413793,0.47435897435897434,5.0
surprisal,none,1.0,True,0.6823956442831216,0.41541611904186565,0.7162672126540608,0.20689655172413793,0.4648318042813456,4.671018719673157
surprisal,none,1.5,False,0.676950998185118,0.39469269893819064,0.7159360070657192,0.20689655172413793,0.46706586826347307,3.0
surprisal,none,1.5,True,0.7332123411978222,0.4061979532735766,0.709974306475571,0.20689655172413793,0.45353159851301117,5.188677668571472
surprisal,none,2.0,False,0.7223230490018149,0.3749087050563837,0.7011722670520696,0.20689655172413793,0.45161290322580644,3.0
surprisal,none,2.0,True,0.7168784029038112,0.38914079599416684,0.6969569232004497,0.20689655172413793,0.4507042253521127,2.8417537212371826
surprisal,none,2.5,False,0.7078039927404719,0.36514754084284295,0.7008009153318078,0.20689655172413793,0.4429065743944637,2.0
surprisal,none,2.5,True,0.7186932849364791,0.3742540130082855,0.6927215062828697,0.20689655172413793,0.4444444444444444,1.9761390686035156
surprisal,none,3.0,False,0.7513611615245009,0.3468880120978288,0.6872515958087438,0.20689655172413793,0.4541832669322709,2.0
surprisal,none,3.0,True,0.6932849364791288,0.3520079650440882,0.6755188887550685,0.20689655172413793,0.43853820598006643,0.9485471248626709
surprisal,none,3.5,False,0.6660617059891107,0.30546277858200926,0.6658537074952828,0.20689655172413793,0.42857142857142855,1.0
surprisal,none,3.5,True,0.6751361161524501,0.3199593858971207,0.6581757597655465,0.20689655172413793,0.43174603174603177,0.1087191104888916
surprisal,none,4.0,False,0.6950998185117967,0.25912843619513043,0.6278855032317636,0.20689655172413793,0.39568345323741005,1.0
surprisal,none,4.0,True,0.6987295825771325,0.28569202966405727,0.6261993656911157,0.20689655172413793,0.39855072463768115,0.009134292602539062
surprisal,none,4.5,False,0.7186932849364791,0.23731250313741284,0.5982476213416837,0.20689655172413793,0.35684647302904565,1.0
surprisal,none,4.5,True,0.7186932849364791,0.2635520365247266,0.6012987273676181,0.20689655172413793,0.35684647302904565,0.01472330093383789
surprisal,none,5.0,False,0.20689655172413793,0.22603729460131217,0.5834336986631338,0.20689655172413793,0.34285714285714286,0.0
surprisal,none,5.0,True,0.7767695099818511,0.24487174671900927,0.587498494520053,0.20689655172413793,0.35602094240837695,0.7499294281005859
surprisal,none,5.5,False,0.20689655172413793,0.21051571736885086,0.5916536191737926,0.20689655172413793,0.34285714285714286,0.0
surprisal,none,5.5,True,0.7767695099818511,0.23795253571979705,0.5940623870890039,0.20689655172413793,0.35602094240837695,0.24992942810058594
surprisal,none,6.0,False,0.20689655172413793,0.1920117389944948,0.5842466578345177,0.20689655172413793,0.34285714285714286,0.0
surprisal,none,6.0,True,0.20689655172413793,0.218553357210923,0.5842466578345177,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,1.0,False,0.7604355716878403,0.4327471195547718,0.7280099562407162,0.20689655172413793,0.5111111111111111,1.019049330730136
surprisal,sqrt,1.0,True,0.7713248638838476,0.41641099114803565,0.7154040708177767,0.20689655172413793,0.46153846153846156,1.5264607213341377
surprisal,sqrt,1.5,False,0.7041742286751361,0.424095634790206,0.71820426351921,0.20689655172413793,0.4758842443729904,0.5477225575051661
surprisal,sqrt,1.5,True,0.720508166969147,0.4029230936806069,0.7077261230880405,0.20689655172413793,0.45,0.8098530235436651
surprisal,sqrt,2.0,False,0.7368421052631579,0.4114467120732608,0.7016540206351118,0.20689655172413793,0.46886446886446886,0.43193421279068006
surprisal,sqrt,2.0,True,0.7495462794918331,0.38054355638119947,0.6947488859448392,0.20689655172413793,0.4566929133858268,0.6411804890700069
surprisal,sqrt,2.5,False,0.7295825771324864,0.39965020173626714,0.6992552892528805,0.20689655172413793,0.4581818181818182,0.2917299829957891
surprisal,sqrt,2.5,True,0.7332123411978222,0.35988500279738894,0.6892287928058132,0.20689655172413793,0.44528301886792454,0.36977203987411217
surprisal,sqrt,3.0,False,0.7803992740471869,0.37383997111859624,0.6856457505319362,0.20689655172413793,0.47619047619047616,0.2917299829957891
surprisal,sqrt,3.0,True,0.691470054446461,0.3335513655079556,0.6708217913204063,0.20689655172413793,0.43333333333333335,0.15550209661006292
surprisal,sqrt,3.5,False,0.6932849364791288,0.3356258827360152,0.6618892769681641,0.20689655172413793,0.43478260869565216,0.1386750490563073
surprisal,sqrt,3.5,True,0.6678765880217786,0.3137172345585275,0.6556866995864948,0.20689655172413793,0.42990654205607476,0.012632216938350177
surprisal,sqrt,4.0,False,0.6950998185117967,0.2819179581658391,0.6249046529366895,0.20689655172413793,0.39568345323741005,0.08084520834544433
surprisal,sqrt,4.0,True,0.6987295825771325,0.2821011261638608,0.6248343972058292,0.20689655172413793,0.39855072463768115,0.0015900762450634708
surprisal,sqrt,4.5,False,0.7223230490018149,0.2514290802338016,0.5978260869565217,0.20689655172413793,0.3598326359832636,0.08873565094161139
surprisal,sqrt,4.5,True,0.7186932849364791,0.25504633703923035,0.6003753663334538,0.20689655172413793,0.35684647302904565,0.0014368470455375605
surprisal,sqrt,5.0,False,0.20689655172413793,0.24395575590718319,0.5835039543939942,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,5.0,True,0.7803992740471869,0.2400313995143201,0.586454695090128,0.20689655172413793,0.34594594594594597,0.13819096471749032
surprisal,sqrt,5.5,False,0.20689655172413793,0.22938916628043496,0.5900176642980449,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,5.5,True,0.7803992740471869,0.23325041066183017,0.5933799028463608,0.20689655172413793,0.35978835978835977,0.04068203384136239
surprisal,sqrt,6.0,False,0.20689655172413793,0.21591462352699028,0.5833232968003533,0.20689655172413793,0.34285714285714286,0.0
surprisal,sqrt,6.0,True,0.20689655172413793,0.21348910766718296,0.5836243927897548,0.20689655172413793,0.34285714285714286,0.0
surprisal,len,1.0,False,0.7568058076225045,0.43105699372892065,0.7208338351599823,0.20689655172413793,0.48854961832061067,0.16842105263157894
surprisal,len,1.0,True,0.705989110707804,0.39886979902702485,0.7057489260909712,0.20689655172413793,0.4489795918367347,0.177391149780967
surprisal,len,1.5,False,0.7386569872958257,0.41479280453216133,0.7068529447187764,0.20689655172413793,0.4666666666666667,0.11428571428571428
surprisal,len,1.5,True,0.7259528130671506,0.38120612645829743,0.6975490786462725,0.20689655172413793,0.43866171003717475,0.1368901457105364
surprisal,len,2.0,False,0.7495462794918331,0.3826514193645549,0.6952105664619214,0.20689655172413793,0.48120300751879697,0.07692307692307693
surprisal,len,2.0,True,0.6297640653357531,0.35955903169120523,0.6849130836243927,0.20689655172413793,0.43646408839779005,0.03760885547947239
surprisal,len,2.5,False,0.604355716878403,0.3627402300581373,0.6914669396603638,0.20689655172413793,0.441025641025641,0.0196078431372549
surprisal,len,2.5,True,0.5862068965517241,0.3440969517205233,0.6797543056726485,0.20689655172413793,0.43283582089552236,0.0009519755840301514
surprisal,len,3.0,False,0.6733212341197822,0.3474854211810749,0.674153920269782,0.20689655172413793,0.45454545454545453,0.02247191011235955
surprisal,len,3.0,True,0.705989110707804,0.32403127841440993,0.664197679553575,0.20689655172413793,0.43356643356643354,0.029865549160883978
surprisal,len,3.5,False,0.6715063520871143,0.30280162952817435,0.6488417840941025,0.20689655172413793,0.43260188087774293,0.010526315789473684
surprisal,len,3.5,True,0.6678765880217786,0.30259081099421203,0.6503874101730298,0.20689655172413793,0.42990654205607476,0.001339012317443162
surprisal,len,4.0,False,0.6950998185117967,0.2596339182625881,0.6178188606527761,0.20689655172413793,0.39568345323741005,0.006535947712418301
surprisal,len,4.0,True,0.6987295825771325,0.2773981843151875,0.621823437311815,0.20689655172413793,0.39855072463768115,0.00027679674553148675
surprisal,len,4.5,False,0.7223230490018149,0.22817839634190612,0.5948050905295275,0.20689655172413793,0.3598326359832636,0.007874015748031496
surprisal,len,4.5,True,0.7186932849364791,0.25191659093201635,0.598087036814003,0.20689655172413793,0.35684647302904565,0.00014022191365559896
surprisal,len,5.0,False,0.20689655172413793,0.22280101690189233,0.5816471957926854,0.20689655172413793,0.34285714285714286,0.0
surprisal,len,5.0,True,0.20689655172413793,0.2356658414908276,0.5845076076919988,0.20689655172413793,0.34285714285714286,0.0
surprisal,len,5.5,False,0.20689655172413793,0.21631397630617644,0.5892749608575214,0.20689655172413793,0.34285714285714286,0.0
surprisal,len,5.5,True,0.7731397459165155,0.2347224342905054,0.592576980207957,0.20689655172413793,0.35233160621761656,0.003618777687869855
surprisal,len,6.0,False,0.20689655172413793,0.21049758894888096,0.5827512144204906,0.20689655172413793,0.34285714285714286,0.0
surprisal,len,6.0,True,0.20689655172413793,0.21766793509386181,0.5832028584045927,0.20689655172413793,0.34285714285714286,0.0
entropy,none,1.0,False,0.6969147005444646,0.4242162876419186,0.7458850214781806,0.20689655172413793,0.49240121580547114,4.0
entropy,none,1.0,True,0.6987295825771325,0.44513934285730744,0.7564334176402103,0.20689655172413793,0.5202312138728323,1.0346917907845474
entropy,none,1.5,False,0.7459165154264973,0.3977291718259921,0.7347043237384078,0.20689655172413793,0.4927536231884058,2.0
entropy,none,1.5,True,0.73502722323049,0.42446880925276226,0.7372435665823598,0.20689655172413793,0.5133333333333333,0.26870512285877557
entropy,none,2.0,False,0.7549909255898367,0.31305360743691085,0.6465634911076318,0.20689655172413793,0.425531914893617,1.0
entropy,none,2.0,True,0.7622504537205081,0.3302989053679469,0.6465333815086917,0.20689655172413793,0.4329004329004329,0.017841791561181264
entropy,none,2.5,False,0.20689655172413793,0.12250789421783087,0.5076076919988759,0.20689655172413793,0.34285714285714286,0.0
entropy,none,2.5,True,0.20689655172413793,0.12250789421783087,0.5076076919988759,0.20689655172413793,0.34285714285714286,0.0
entropy,none,3.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,3.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,3.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,3.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,4.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,4.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,4.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,4.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,5.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,6.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,none,6.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,1.0,False,0.73502722323049,0.45097374184880157,0.7556907141996868,0.20689655172413793,0.5165562913907285,0.8017837257372732
entropy,sqrt,1.0,True,0.7459165154264973,0.45671125394324147,0.7611706612067928,0.20689655172413793,0.527027027027027,0.29587385410602446
entropy,sqrt,1.5,False,0.7586206896551724,0.4374177898987022,0.7393110923762496,0.20689655172413793,0.5092250922509225,0.28005601680560194
entropy,sqrt,1.5,True,0.7441016333938294,0.4376895027598786,0.7407362800594163,0.20689655172413793,0.5187713310580204,0.05060546389931133
entropy,sqrt,2.0,False,0.7767695099818511,0.3435705248501279,0.6490023686217833,0.20689655172413793,0.43317972350230416,0.14586499149789456
entropy,sqrt,2.0,True,0.764065335753176,0.334194987899434,0.6483198843791401,0.20689655172413793,0.43478260869565216,0.002668459586222525
entropy,sqrt,2.5,False,0.20689655172413793,0.12250789421783087,0.5076076919988759,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,2.5,True,0.20689655172413793,0.12250789421783087,0.5076076919988759,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,3.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,4.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,4.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,4.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,4.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,5.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,5.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,5.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,5.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,6.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,sqrt,6.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,1.0,False,0.778584392014519,0.45816491844265517,0.75634308884339,0.20689655172413793,0.5307692307692308,0.1891891891891892
entropy,len,1.0,True,0.73502722323049,0.4694030975764103,0.7620538761090369,0.20689655172413793,0.532051282051282,0.04669109621404413
entropy,len,1.5,False,0.7604355716878403,0.4408731474094885,0.7400939419486933,0.20689655172413793,0.49230769230769234,0.05405405405405406
entropy,len,1.5,True,0.7531760435571688,0.4447670293347154,0.7428038058533061,0.20689655172413793,0.5107913669064749,0.010952244232250438
entropy,len,2.0,False,0.7876588021778584,0.3448455423652324,0.649363683809065,0.20689655172413793,0.4292682926829268,0.02127659574468085
entropy,len,2.0,True,0.7604355716878403,0.3400811131787535,0.648520615038741,0.20689655172413793,0.43103448275862066,0.00030796445230704895
entropy,len,2.5,False,0.20689655172413793,0.12250789421783087,0.5076076919988759,0.20689655172413793,0.34285714285714286,0.0
entropy,len,2.5,True,0.20689655172413793,0.12250789421783087,0.5076076919988759,0.20689655172413793,0.34285714285714286,0.0
entropy,len,3.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,3.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,3.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,3.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,4.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,4.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,4.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,4.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,5.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,5.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,5.5,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,5.5,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,6.0,False,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
entropy,len,6.0,True,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
